Name,ICAO,IATA,CallSign,Country,Founded,Destinations,Fleet Size
Air Vanuatu,AVN,NF,AIR VAN,Vanuatu,1981,33,6
Atlantic Airways,FLI,RC,FAROELINE,Faroe Islands,1987,9,5
Express.Net Airlines,XNA,,EXPRESSNET,,1972,,4
Sabah Air,SAX,SA,SABAH AIR,Malaysia,1975,,12
Air Vega,,,,,2012,,1
Corporate Flight Management,VTE,,VOLUNTEER,,1982,,27
ExpressJet,ASQ,EV,ACEY,,1979,194,401
Hageland Aviation Services,HAG,H6,HAGELAND,United States,1981,76,33
Jota Aviation,ENZ,,ENZO,,2009,,7
Links Air,LNQ,W2,FASTLINK,,1983,2,3
MyTravelLite Airlines,MYL,VZ,MY LITE,,2002,10,4
Sabang Merauke Raya Air Charter,SMC,,SAMER,,1969,,
World Atlantic Airlines,WAL,K8,DORAL,,2002,,5
28th Air Detachment,BGF,,BULGARIAN,,1972,,5
Atlantic Express (airline),SBV,,RIPPLE,,1985,,2
Brock Air Services,BRD,,BROCK AIR,,1978,,2
Corsair International,CRL,SS,CORSAIR,France,1981,9,7
EZAir,EZR,EZ,EZ AIR,,2000,8,3
Hahn Air,HHN,HR,ROOSTER,Germany,1994,,
Joy Air,JOY,JR,JOY AIR,,2008,17,8
Trans-Florida Airlines,TFA,,TRANS FLORIDA,,1966,,2
WOW air,WOW,WW,WOW AIR,,2011,23,5
Brussels Airlines,BEL,SN,BEELINE,Belgium,2006,76,48
Hainan Airlines,CHH,HU,HAINAN,China,1989,90,147
TransGlobal Airways,TCU,T7,TRANSGLOBAL,,2005,7,2
Wright Air Service,WRF,8V,WRIGHT FLYER,United States,1967,11,14
2nd Arkhangelsk United Aviation Division,OAO,,DVINA,,1935,,3
Air VIA,VIM,VL,CRYSTAL,Bulgaria,1990,,3
Bryansk Air Enterprise,BRK,,BRAVIA,,,,
FAI rent-a-jet,IFA,F3,RED ANGEL,,1987,,21
Haïti Ambassador Airlines,HAM,,,,2002,,1
Jubba Airways,JUB,,JUBBA,,1998,9,3
Lion Air,LNI,JT,LION INTER,Indonesia,1999,79,104
Pascan Aviation,PSC,P6,PASCAN,,1999,16,26
SADELCA,SDK,,SADELCA,,,,1
Wright Airlines,WRT,FW,WRIGHT,,,,
Air Century,CEY,AY,CENTURYFLIGHT,,1990,25,14
Atlantic Star Airlines,,,,,2012,,0
Brymon Airways,BRY,BC,BRYMON,,1970,,48
Juneyao Airlines,DKH,HO,AIR JUNEYAO,China,2005,38,45
Lion Air Australia,,,,,2008,,9
